대여소번호,대여소명,자치구,상세주소,위도,경도,설치시기,LCD,QR,운영방식,자전거수,연도,월,일,요일
844.0,이촌2동 동원베네스트 아파트 앞,용산구,서울특별시 용산구 이촌로14길 7 이촌2동 동원베네스트 아파트 앞,37.5271492,126.95516205,2018-10-19 00:00:00.000,15.0,,LCD,15,2018,10,19,4
845.0,용산 선인상가,용산구,서울특별시 용산구 새창로 181 선인상가,37.53269958,126.96437836,2018-09-09 00:00:00.000,16.0,,LCD,16,2018,9,9,6
846.0,용산중학교,용산구,서울특별시 용산구 두텁바위로 74 용산중학교,37.54650116,126.9809494,2018-12-14 00:00:00.000,15.0,,LCD,15,2018,12,14,4
848.0,삼각지12번 출구,용산구,서울특별시 용산구 이태원로 29 전쟁기념관,37.53488922,126.97562408,2020-03-28 00:00:00.000,,10.0,QR,10,2020,3,28,5
849.0,삼각지 자이아파트,용산구,서울특별시 용산구 한강대로 205 용산파크자이,37.53607941,126.97341919,2020-03-30 00:00:00.000,,20.0,QR,20,2020,3,30,0
850.0,KCC용산월츠타워,용산구,서울특별시 용산구 백범로90길 34 구두수선대,37.53739929,126.96892548,2020-03-28 00:00:00.000,,15.0,QR,15,2020,3,28,5
851.0,효창 푸르지오 앞,용산구,서울특별시 용산구 백범로 260 효창파크 푸르지오,37.54047775,126.95811462,2020-03-28 00:00:00.000,,10.0,QR,10,2020,3,28,5
852.0,청암자이아파트 앞,용산구,서울특별시 용산구 삼개로 60 천년명가 청암자이,37.53452682,126.9471817,2020-03-28 00:00:00.000,,30.0,QR,30,2020,3,28,5
853.0,용산역 맞은편,용산구,서울특별시 용산구 한강로2가 408-5,37.52848816,126.9658432,2020-04-07 00:00:00.000,,19.0,QR,19,2020,4,7,1
854.0,HID 유족동지회 앞,용산구,서울특별시 용산구 이태원로 287 6호선 한강진역,37.53872681,127.00154877,2020-04-05 00:00:00.000,,10.0,QR,10,2020,4,5,6
855.0,이촌역5번출구 앞,용산구,서울특별시 용산구 서빙고로 83 4호선 이촌역,37.52272415,126.97277069,2020-04-07 00:00:00.000,,10.0,QR,10,2020,4,7,1
857.0,현대 안성타워,용산구,서울특별시 용산구 이태원로 261-1 구두수선대,37.53502274,126.9980545,2020-04-07 00:00:00.000,,10.0,QR,10,2020,4,7,1
858.0,녹사평역3번 출구,용산구,서울특별시 용산구 용산동4가 10-4,37.53440857,126.9868927,2020-04-07 00:00:00.000,,10.0,QR,10,2020,4,7,1
859.0,남산공원 야외식물원 앞,용산구,서울특별시 용산구 이태원동 259-16,37.54188538,126.99586487,2020-04-05 00:00:00.000,,10.0,QR,10,2020,4,5,6
860.0,LG한강 자이아파트 앞,용산구,서울특별시 용산구 이촌동 429,37.52074814,126.9708252,2020-04-07 00:00:00.000,,22.0,QR,22,2020,4,7,1
863.0,이촌역2번 출구,용산구,서울특별시 용산구 용산동5가 17,37.52177048,126.977005,2020-04-07 00:00:00.000,,10.0,QR,10,2020,4,7,1
864.0,순천향대학병원(한남오거리),용산구,서울특별시 용산구 한남동 704-11,37.53514099,127.00600433,2020-04-05 00:00:00.000,,10.0,QR,10,2020,4,5,6
865.0,하얏트호텔 앞,용산구,서울특별시 용산구 한남동 산10-138,37.54079437,126.99784851,2020-04-05 00:00:00.000,,10.0,QR,10,2020,4,5,6
866.0,브라운스톤 남산아파트,용산구,서울특별시 용산구 후암로 65 브라운스톤 남산아파트,37.551548,126.97686005,2020-03-30 00:00:00.000,,10.0,QR,10,2020,3,30,0
867.0,서빙고역 광장(1번출구),용산구,서울특별시 용산구 서빙고동 241-37,37.51990891,126.98923492,2020-04-07 00:00:00.000,,10.0,QR,10,2020,4,7,1
869.0,노들섬 동측 앞,용산구,서울특별시 용산구 이촌동 303-8,37.51729584,126.95914459,2020-04-03 00:00:00.000,,10.0,QR,10,2020,4,3,4
870.0,노들섬 서측 앞,용산구,서울특별시 용산구 이촌동 304-11,37.51731873,126.95829773,2020-04-03 00:00:00.000,,10.0,QR,10,2020,4,3,4
4602.0,숙명여대앞 버스정류소 주변,용산구,서울특별시 용산구 청파로47길 99,37.54498672,126.96430206,2020-10-29 00:00:00.000,,10.0,QR,10,2020,10,29,3
4603.0,한강GS에클라트 건너편 교통섬,용산구,서울특별시 용산구 원효로4가 113-54,37.53200531,126.95555878,2021-06-25 00:00:00.000,,10.0,QR,10,2021,6,25,4
4604.0,원효로다목적체육관 앞,용산구,서울특별시 용산구 원효로3가 54-14,37.5332222,126.95723724,2020-10-30 00:00:00.000,,15.0,QR,15,2020,10,30,4
4605.0,"노들섬 다목적홀(동쪽) 숲, 앞",용산구,서울특별시 용산구 이촌동 303-15,37.51758957,126.95922089,2020-10-30 00:00:00.000,,10.0,QR,10,2020,10,30,4
4607.0,국립중앙박물관 -용산가족공원 앞,용산구,서울특별시 용산구 용산동6가 11-438,37.52087784,126.97971344,2020-10-29 00:00:00.000,,10.0,QR,10,2020,10,29,3
4608.0,국립중앙박물관 정문 앞,용산구,서울특별시 용산구 용산동6가 11-438,37.52145767,126.97767639,2020-10-30 00:00:00.000,,10.0,QR,10,2020,10,30,4
4609.0,파크타워 104동 앞,용산구,서울특별시 용산구 서빙고로 69 파크타워아파트,37.52330017,126.97206116,2020-10-30 00:00:00.000,,10.0,QR,10,2020,10,30,4
4610.0,한남나인원 105동 앞,용산구,서울특별시 용산구 한남대로 91,37.53591919,127.00541687,2020-10-29 00:00:00.000,,10.0,QR,10,2020,10,29,3
4611.0,국제루터교회 앞,용산구,서울특별시 용산구 한남대로 148,37.54143906,127.00376129,2020-10-29 00:00:00.000,,10.0,QR,10,2020,10,29,3
4612.0,한남 준 JFSS 앞,용산구,서울특별시 용산구 이태원로 255,37.53749847,127.00084686,2020-10-29 00:00:00.000,,8.0,QR,8,2020,10,29,3
4613.0,서울갤러리아 앞,용산구,서울특별시 용산구 이태원로 239,37.53599548,126.99948883,2020-10-29 00:00:00.000,,7.0,QR,7,2020,10,29,3
4615.0,크라운호텔앞 버스정류소,용산구,서울특별시 용산구 녹사평대로 140,37.53030014,126.99137878,2020-10-29 00:00:00.000,,7.0,QR,7,2020,10,29,3
